initiative_id,short_name,country,sector,target_person_name,target_person_linkedin,priority_tier,weighted_total,speed_to_contract,strategic_moat,defensibility,capital_access,russian_cis_fit,lead_institution,primary_funding_pathway,estimated_initial_contract_usd,status,last_action,next_action,owner
INI-012,Mahalla Digital Social Registry AI (UZ),UZ,Public Administration,"Deputy Minister MoDT (AI & Innovation)","not_found",A,8.50,8,8,8,9,8,UZ-MCHJ-MAHALLA,"State PP-2025-286 + WB P179108",5800000,not_started,,"Pre-engage MoDT Deputy Minister on PP-2025-286 implementation approach; request TOR drafting inclusion",valuev.alexandr@gmail.com
INI-013,AI EdTech Platform for UZ Schools,UZ,Education,"Min Public Education UZ","not_found",A,8.05,8,7,7,8,7,UZ-MINSCHOOL,"State PP-2024-054 + IsDB SMARTED",5500000,not_started,,"Track forthcoming EdTech tender; contact IsDB SMARTED for co-financing; approach Samsung (Tashkentov/Seoul) for hardware layer",valuev.alexandr@gmail.com
INI-014,AI Precision Agriculture (UZ-Cotton + Wheat),UZ,Agriculture & Water,"Min Agriculture UZ","not_found",A,8.80,9,8,8,9,7,UZ-MINSELHHOZ,"State PP-2025-099 + WB P158372 digital component",4800000,not_started,,"Contact Min Agriculture for PP-2025-099 implementation; WB P158372 TTL intro via Ozod Tashpulatov (WB ECA)",valuev.alexandr@gmail.com
INI-015,Smart Grid AI for Energy (NEGU),UZ,Energy,"Mirzamahmudov Jurabek (Min Energy)","not_found",A,8.55,8,8,9,9,8,UZ-NEGU,"ADB-UZ-52322-004 $125M + state",8000000,not_started,,"Contact Kamoliddin Yusupov (ADB Manila) for Yun Ji Suh intro; LinkedIn to Min Energy referencing ADB grid program",valuev.alexandr@gmail.com
INI-016,MyID Mobile-ID National Rollout (UZ),UZ,Public Administration,"Rakhmatov Bahador (Dir ASR)","not_found",A,8.95,9,9,9,9,8,UZ-ASR,"State UP-2020-6065 + WB P179108",4500000,not_started,,"Contact Nodira Islamova (McKinsey Dubai) for ASR intro; LinkedIn to ASR digital services team referencing Poland mObywatel benchmark",valuev.alexandr@gmail.com
INI-017,AI Civil Servant Training Program (UZ),UZ,Education,"Sharipov Kongratbay (Min Higher Edu)","not_found",A,7.85,7,6,7,7,7,UZ-MOHESI,"State UP-2024-095",1800000,not_started,,"Bundle with INI-011 proposal to MoHESI; contact IsDB SMARTED for training component co-financing",valuev.alexandr@gmail.com
KG-INI-001,UDP TOR Drafting Co-Author (Post-Mintsifry),KG,Public Administration,"Burzhuev Azamat (Head UDP Digital Dept CORRECTED)","not_found",A,9.30,10,10,8,9,10,KG-UDP,"Donor TA (EU EGA + WB Digital CASA + ADB 55109)",700000,not_started,,"WEEK 1 PRIORITY: Contact Kalmurzaev (Google Zurich) and Dzhaksybekov (Bain Dubai) for Burzhuev intro; register with WB Digital CASA PIU and ADB 55109 PIU; dispatch Bishkek senior advisor",valuev.alexandr@gmail.com
KG-INI-002,Digital Som CBDC Wallet & AML/KYC Stack,KG,Finance & Fiscal,"Turganbekov Melis (Gov NBKR)","not_found",A,9.35,10,9,9,9,10,KG-NBKR,"NBKR state budget + WB/IFC TA + EFSD",3500000,not_started,,"Submit pre-qual KG-T-2026-004; request NBKR pilot observer status via formal letter; contact Aigerim Bekova (WB ECA) for WB/IFC TA alignment letter; build Russian-Kyrgyz wallet demo in 4 weeks",valuev.alexandr@gmail.com
KG-INI-003,Tunduk 2.0 API Gateway & Data Modernization,KG,Public Administration,"Isakov Marat (Dir GP Tunduk L2_VERIFIED)","linkedin.com/in/unverified",A,9.20,10,9,9,9,9,KG-GP-TUNDUK,"EU C4CA + KOICA + UDP state budget",1800000,not_started,,"Submit pre-qual KG-T-2026-005; contact eGA Estonia (Tõnis Mäe) for Cybernetica partnership framing; contact KOICA Bishkek TTL for co-financing alignment",valuev.alexandr@gmail.com
KG-INI-004,KG eHealth EHR & AI Diagnostic Platform,KG,Health,"Osmonov Damirbek (Min Health KG CORRECTED — NOT Beishenaliev)","not_found",A,8.70,9,8,8,9,8,KG-MINHEALTH,"MoH state budget + AKDN $15M + UNICEF $1.5M",4030000,not_started,,"Submit pre-qual KG-T-2026-006; introduce to new Minister Osmonov (appointed Feb 2026) with AKDN co-financing framing; contact eGA for Estonia e-Health endorsement",valuev.alexandr@gmail.com
KG-INI-005,ADB e-Procurement Phase 2 AI Analytics,KG,Public Administration,"Kadyrbayev Azamat (Dir Goszakupki)","not_found",A,8.75,9,8,8,9,9,KG-PROCUREMENT-DEPT,"ADB Project 55109-001 Phase 2",1200000,not_started,,"Submit pre-qual KG-T-2026-002 (precursor audit); contact ADB TTL Abdybakirov for Phase 2 timeline confirmation; brief Kadyrbayev with Smart Bridge ROI case",valuev.alexandr@gmail.com
KG-INI-006,Mountain Telemedicine AI Triage (AKDN/SDC),KG,Health,"Osmonov Damirbek (Min Health KG CORRECTED)","not_found",A,8.85,9,9,8,9,8,KG-MINHEALTH,"AKDN $15M + SDC + MoH state",2800000,not_started,,"Track KG-T-2026-007; contact AKDN KG PIU for co-financing alignment; brief Minister Osmonov on Bangladesh a2i offline-first architecture",valuev.alexandr@gmail.com
KG-INI-007,Glacier & GLOF Early Warning AI,KG,Environment,"Minister MChS KG","not_found",A,8.55,8,9,8,8,7,KG-MCHS,"WB KG Climate Resilience + ADB DRM",3200000,not_started,,"Submit pre-qual KG-T-2026-009; contact WB KG climate resilience TTL; present Deltares (NL) GLOF architecture comparison",valuev.alexandr@gmail.com
KG-INI-008,Digital Code Secondary Regulations & AI Registry,KG,Public Administration,"Burzhuev Azamat (Head UDP Digital Dept CORRECTED)","not_found",A,9.20,10,9,9,9,9,KG-UDP,"EGA twinning + WB Digital CASA TA",650000,not_started,,"Link to KG-INI-001 TOR drafting; contact Baktygul Tashmetova (Oxford OII) for Digital Code co-authorship; submit pre-qual KG-T-2026-008",valuev.alexandr@gmail.com
KG-INI-009,Sovereign Kyrgyz-Russian LLM Foundation Model,KG,AI Infrastructure,"Burzhuev Azamat (Head UDP Digital Dept CORRECTED)","not_found",A,9.55,9,10,10,9,10,KG-UDP,"AI Strategy TA + forthcoming KG AI Fund",8000000,not_started,,"Include in KG-INI-001 AI Strategy TA scope; contact Baktygul Tashmetova for Digital Code AI registry spec that requires sovereign LLM; AUCA benchmark co-authorship",valuev.alexandr@gmail.com
KG-INI-010,KG Identity & Social Protection AI Registry,KG,Social Protection,"Baatyrbekova Gulnara (Min Social Protection)","not_found",A,8.55,8,8,8,8,8,KG-MINSOC,"WB replacement (P155198 closed) + UNICEF + state",1500000,not_started,,"Contact Aigerim Bekova (WB ECA) for WB replacement program timeline; approach UNICEF KG for child welfare co-financing; brief Minister Baatyrbekova",valuev.alexandr@gmail.com
KG-INI-011,KG Cybersecurity SOC & Critical Infrastructure,KG,Security,"Director State Service Cybersecurity KG","not_found",A,8.85,10,8,9,8,9,KG-CYBERSERVICE,"EU C4CA + state budget",2500000,not_started,,"Submit pre-qual KG-T-2026-010; request Estonia NCSC endorsement via eGA Estonia; EU C4CA PIU alignment for cyber co-financing",valuev.alexandr@gmail.com
INI-036,AI Cluster at NUU (UZ),UZ,AI Infrastructure,"NUU Rector","not_found",B,8.40,8,8,8,9,8,UZ-NUU,"IT Park + EBRD + state",15000000,not_started,,"Approach via Akbar Toshmatov (Stanford HAI) as NUU AI Cluster co-author bridge; link to INI-007 compute cluster proposal",valuev.alexandr@gmail.com
INI-039,Government Cloud (UzCloud) AI Layer,UZ,AI Infrastructure,"Head UzCloud eGov Infrastructure","not_found",B,8.35,8,9,9,9,8,UZ-EGOV-UZCLOUD,"State PP-2024-358",6000000,not_started,,"Brief UzCloud Head on AI inference fabric architecture; position as horizontal layer for all vertical AI deployments (Courts/EPIGU/Health)",valuev.alexandr@gmail.com
INI-035,Cybersecurity Banking Sector (UZ),UZ,Security,"UNICON Head","not_found",B,8.20,9,8,9,8,9,UZ-UNICON,"State PP-2024-038-CYBERSEC-BANKING",3500000,not_started,,"Bundle with INI-010 SOC proposal; same architecture extended to banking sector",valuev.alexandr@gmail.com
INI-024,AI E-Prescription Fraud Detection (UZ),UZ,Health,"Inoyatov Amrillo (Min Health UZ)","not_found",B,8.05,8,7,8,9,8,UZ-MINZDRAV,"State PP-2024-038 + WB P178562",4000000,not_started,,"Bundle with INI-008 healthcare AI proposal as Phase 2 extension",valuev.alexandr@gmail.com
INI-021,AI Telemedicine Triage (UZ Mountains),UZ,Health,"Inoyatov Amrillo (Min Health UZ)","not_found",B,7.85,8,7,7,8,7,UZ-MINZDRAV,"State PP-2025-185 + AKDN",2500000,not_started,,"Bundle with INI-008; approach E-Health Center Director for mountain telemedicine component",valuev.alexandr@gmail.com
INI-022,Workflow Automation for UZ Inter-Agency,UZ,Public Administration,"Deputy Minister MoDT Digital Gov","not_found",B,7.65,7,7,8,8,7,UZ-MINTSIFRY,"State UP-2024-132",4000000,not_started,,"Link to INI-003 EPIGU chatbot; pitch as government-internal automation layer on top of EPIGU + MyID",valuev.alexandr@gmail.com
INI-028,Labour Market AI (UZ MinLabor),UZ,Labor,"Deputy Minister MoDT Innovation","not_found",B,7.65,7,7,7,7,7,UZ-MINLABOR,"State PP-2024-345",2500000,not_started,,"Contact WB UZ social protection TTL; benchmark Kazakhstan enbek.kz with UZ labor statistics",valuev.alexandr@gmail.com
INI-033,AML AI for State Banks (UZ),UZ,Finance & Fiscal,"CBU Governor","not_found",B,7.65,7,7,8,8,7,UZ-CBU,"State PP-2024-038-CYBERSEC-BANKING",4500000,not_started,,"Contact Dilnoza Askarova (HSBC London) for CBU digital banking team intro; link to INI-004 tax AI cross-sell",valuev.alexandr@gmail.com
INI-030,Renewable Energy Forecasting AI (UZ),UZ,Energy,"Minister Energy UZ (Mirzamahmudov)","not_found",B,7.50,7,7,8,8,7,UZ-NEGU,"ADB-UZ-52322-004 + state",1500000,not_started,,"Bundle with INI-015 smart grid proposal; same buyer same institution",valuev.alexandr@gmail.com
INI-019,AI Digital Records (Sud.uz Modernization),UZ,Justice & Rule of Law,"Head Digital Court Project (IT Dept)","not_found",B,7.45,7,7,8,8,8,UZ-SUPREME-COURT,"State UP-2025-140",2500000,not_started,,"Bundle with INI-002 Courts AI proposal as Phase 0 archival digitization component",valuev.alexandr@gmail.com
KG-INI-026,Disaster Early Warning AI (Landslides/Earthquakes),KG,Environment,"UDP Digital Dept + MChS KG","not_found",B,8.00,8,8,7,8,7,KG-MCHS,"WB KG Climate Resilience + ADB DRM",1300000,not_started,,"Link to KG-INI-007 GLOF system; bundle as 'National Disaster Digital Resilience' program proposal to UDP",valuev.alexandr@gmail.com
KG-INI-012,AML Banking Sector AI (KG-TF-2026-005),KG,Finance & Fiscal,"Governor NBKR (Turganbekov)","not_found",B,7.95,8,8,9,9,9,KG-NBKR,"NBKR state + WB/IFC TA",1800000,not_started,,"Link to KG-INI-002 CBDC stack as Phase 2 extension to commercial banking",valuev.alexandr@gmail.com
KG-INI-017,Crypto-VA Compliance Platform,KG,Finance & Fiscal,"Governor NBKR (Turganbekov)","not_found",B,7.85,8,8,8,8,8,KG-NBKR,"NBKR state budget",1200000,not_started,,"Bundle with KG-INI-002 CBDC bid as virtual asset compliance component",valuev.alexandr@gmail.com
KG-INI-018,Labor Migration AI Platform,KG,Social Protection,"Minister Social Protection (Baatyrbekova)","not_found",B,7.85,7,7,7,7,8,KG-MINSOC,"IOM + WB + state",1100000,not_started,,"Contact IOM KG office for labor migration data access; link to CBDC digital som for remittance corridor integration",valuev.alexandr@gmail.com
KG-INI-019,Smart Grid AI for Hydropower (KG-Toktogul),KG,Energy,"Minister Energy KG","not_found",B,7.85,7,8,8,7,7,KG-MINENERGY,"ADB hydropower TA + state",1800000,not_started,,"Contact ADB KG hydropower TTL; link to WB KG resilience program; benchmark Naryn hydropower optimization case",valuev.alexandr@gmail.com
KG-INI-020,AI EdTech Platform Kyrgyz-Language,KG,Education,"Minister Education KG (Kenzhematova)","not_found",B,7.75,7,7,7,8,6,KG-MINEDU,"UNICEF + KOICA + state",1200000,not_started,,"Contact UNICEF KG education program TTL; AUCA as curriculum co-publisher; link to KG-INI-009 sovereign LLM for Kyrgyz language content",valuev.alexandr@gmail.com
KG-INI-014,Customs Risk Profiling AI (China-EAEU Corridor),KG,Finance & Fiscal,"Usenov Kairat (Dir State Customs KG)","not_found",B,7.45,7,7,7,7,8,KG-GTS,"ADB KG + WCO TA",1500000,not_started,,"Link to INI-005 UZ customs AI — same architecture, present as regional package; contact WCO CA regional office",valuev.alexandr@gmail.com
KG-INI-016,Jogorku Kenesh Parliamentary AI,KG,Public Administration,"Chair National AI Council KG","not_found",B,7.45,7,7,7,7,8,KG-NATIONAL-AI-COUNCIL,"State + EGA twinning",600000,not_started,,"Link to KG-INI-008 Digital Code secondary regs TA; parliament is natural early adopter for AI registry compliance",valuev.alexandr@gmail.com
KG-INI-021,AI Precision Agriculture Naryn,KG,Agriculture,"Minister Agriculture KG","not_found",B,7.40,7,7,7,7,6,KG-MINAGO,"ADB + FAO + state",1500000,not_started,,"Contact FAO KG country rep for precision agriculture co-financing; link to climate resilience program",valuev.alexandr@gmail.com
KG-INI-025,HTP AI Talent Pipeline (Skills + Startup),KG,Education,"Director High-Tech Park KG (AIEB Head)","not_found",B,7.40,7,7,7,7,7,KG-HTP,"SDC + KOICA + state",1500000,not_started,,"Contact AUCA rector Andrew Wachtel for academic anchor; SDC KG office for talent pipeline co-financing",valuev.alexandr@gmail.com
